candidate,path,edge_weight,weekend_weight,Revenue_mean,COGS_mean,Revenue_mean_abs_move_vs_v37,COGS_mean_abs_move_vs_v37
v41_edge_only_w35,D:\tu_projects\Datathon2026-TheGridbreakers-GenCore\output\submission_v41_edge_only_w35.csv,0.35,0.0,4444788.060145985,3773276.6891605835,24547.960604803862,23620.446515892483
v41_edge_w30_weekend_w12,D:\tu_projects\Datathon2026-TheGridbreakers-GenCore\output\submission_v41_edge_w30_weekend_w12.csv,0.3,0.12,4444788.060145985,3773276.689160584,26371.72162168546,25266.265775642798
